Year,Type,Location,Landings in lb,Dollar Value,Number of Trips
2010,BLUE CRAB,LAKE PONTCHARTRAIN BASIN,"10,909,208",11902892,"21,447"
2010,BLUE CRAB,LOUISIANA GRID 14,"1,951",1401,3
2010,BLUE CRAB,LOUISIANA GRID 15,"6,095",4171,18
2010,BLUE CRAB,MERMENTAU RIVER BASIN,"1,035,017",,
2010,BLUE CRAB,MISSISSIPPI RIVER BASIN,"707,937",487725,913
2010,BLUE CRAB,TERREBONNE BASIN,"6,764,690",5750250,"16,109"
2011,BLUE CRAB,ATCHAFALAYA/VERMILION-TECH BASIN,"6,874,080",6633317,"17,918"
2011,BLUE CRAB,BARATARIA BASIN,"6,892,434",5378872,"16,996"
2011,BLUE CRAB,CALCASIEU RIVER BASIN,"2,074,142",2016438,"6,738"
2011,BLUE CRAB,LAKE PONTCHARTRAIN BASIN,"15,827,150",14099882,"31,659"
2011,BLUE CRAB,LOUISIANA GRID 14,422,392,3
2011,BLUE CRAB,LOUISIANA GRID 15,"4,151",4388,12
2011,BLUE CRAB,MERMENTAU RIVER BASIN,"997,246",,
2011,BLUE CRAB,MISSISSIPPI RIVER BASIN,"2,030,601",1122454,"2,702"
2011,BLUE CRAB,SABINE RIVER BASIN,"47,404",33602,101
2011,BLUE CRAB,TERREBONNE BASIN,"9,184,388",6396260,"20,089"
2012,BLUE CRAB,ATCHAFALAYA/VERMILION-TECH BASIN,"7,670,417",7992025,"22,899"
2012,BLUE CRAB,BARATARIA BASIN,"6,759,165",6298353,"15,740"
2012,BLUE CRAB,CALCASIEU RIVER BASIN,"2,251,554",2466484,"7,458"
2012,BLUE CRAB,LAKE PONTCHARTRAIN BASIN,"13,395,524",13809267,"28,413"
2012,BLUE CRAB,LOUISIANA GRID 13,374,748,
2012,BLUE CRAB,LOUISIANA GRID 14,"6,288",3206,9
2012,BLUE CRAB,LOUISIANA GRID 15,110,78,
2012,BLUE CRAB,LOUISIANA GRID 16,"1,647",2467,8
2012,BLUE CRAB,MERMENTAU RIVER BASIN,"972,780",,
2012,BLUE CRAB,MISSISSIPPI RIVER BASIN,"2,838,949",2006574,"3,434"
2012,BLUE CRAB,SABINE RIVER BASIN,"192,471",171163,403
2012,BLUE CRAB,TERREBONNE BASIN,"8,963,330",7317649,"21,118"
2013,BLUE CRAB,ATCHAFALAYA/VERMILION-TECH BASIN,"5,395,897",7805239,"20,157"
