Year,Type,Location,Landings in lb,Dollar Value,Number of Trips
2012,OYSTERS,LOUISIANA GRID 15,"40,250",74605,122
2012,OYSTERS,TERREBONNE BASIN,"4,359,003",11887355,"16,928"
2013,OYSTERS,ATCHAFALAYA/VERMILION-TECH BASIN,"512,955",1837716,"1,136"
2013,OYSTERS,BARATARIA BASIN,"3,611,074",16722441,"10,163"
2013,OYSTERS,CALCASIEU RIVER BASIN,"165,166",695650,"2,724"
2013,OYSTERS,LAKE PONTCHARTRAIN BASIN,"2,684,474",11963433,"5,802"
2013,OYSTERS,LOUISIANA GRID 13,,,
2013,OYSTERS,LOUISIANA GRID 14,,,
2013,OYSTERS,MERMENTAU RIVER BASIN,"3,384",14382,59
2013,OYSTERS,TERREBONNE BASIN,"4,429,719",13773052,"17,725"
2014,OYSTERS,ATCHAFALAYA/VERMILION-TECH BASIN,"552,402",2642726,"1,250"
2014,OYSTERS,BARATARIA BASIN,"4,349,928",27362602,"12,826"
2014,OYSTERS,CALCASIEU RIVER BASIN,"341,707",1880968,"5,704"
2014,OYSTERS,LAKE PONTCHARTRAIN BASIN,"3,695,243",22022267,"8,010"
2014,OYSTERS,LOUISIANA GRID 13,"53,004",341557,228
2014,OYSTERS,LOUISIANA GRID 14,"10,016",50861,53
2014,OYSTERS,LOUISIANA GRID 15,,,
2014,OYSTERS,LOUISIANA GRID 17,"1,521",13012,19
2014,OYSTERS,SABINE RIVER BASIN,,,
2014,OYSTERS,TERREBONNE BASIN,"3,708,429",13142310,"18,541"
2002,WHITE SHRIMP,ATCHAFALAYA/VERMILION-TECH BASIN,"1,765,230",2204386,"1,273"
2002,WHITE SHRIMP,BARATARIA BASIN,"6,602,176",8995794,"10,867"
2002,WHITE SHRIMP,CALCASIEU RIVER BASIN,"753,588",784392,"2,550"
2002,WHITE SHRIMP,LAKE PONTCHARTRAIN BASIN,"3,117,405",4519078,"4,564"
2002,WHITE SHRIMP,LOUISIANA GRID 13,"5,867,440",11159801,"2,334"
2002,WHITE SHRIMP,LOUISIANA GRID 14,"5,816,201",12667674,"2,079"
2002,WHITE SHRIMP,LOUISIANA GRID 15,"7,008,988",14529655,"1,758"
2002,WHITE SHRIMP,LOUISIANA GRID 16,"3,233,753",6480583,807
2002,WHITE SHRIMP,LOUISIANA GRID 17,"1,131,615",2181761,432
2002,WHITE SHRIMP,MERMENTAU RIVER BASIN,"257,704",355816,393
2002,WHITE SHRIMP,MISSISSIPPI RIVER BASIN,"2,217,102",2556941,"2,675"
2002,WHITE SHRIMP,TERREBONNE BASIN,"8,959,244",9910006,"12,645"
2003,WHITE SHRIMP,ATCHAFALAYA/VERMILION-TECH BASIN,"2,963,367",3280802,"2,235"
2003,WHITE SHRIMP,BARATARIA BASIN,"11,153,830",12141801,"14,266"
2003,WHITE SHRIMP,CALCASIEU RIVER BASIN,"1,259,115",1227438,"2,676"
2003,WHITE SHRIMP,LAKE PONTCHARTRAIN BASIN,"3,053,833",3416075,"3,567"
2003,WHITE SHRIMP,LOUISIANA GRID 13,"6,269,518",9877573,"2,095"
2003,WHITE SHRIMP,LOUISIANA GRID 14,"5,980,163",10487929,"1,547"
2003,WHITE SHRIMP,LOUISIANA GRID 15,"7,860,216",13695849,"1,584"
2003,WHITE SHRIMP,LOUISIANA GRID 16,"3,397,816",6080447,579
2003,WHITE SHRIMP,LOUISIANA GRID 17,"1,599,885",2779122,545
2003,WHITE SHRIMP,MERMENTAU RIVER BASIN,"89,648",,
2003,WHITE SHRIMP,MISSISSIPPI RIVER BASIN,"2,619,008",2379291,"2,545"
2003,WHITE SHRIMP,TERREBONNE BASIN,"17,142,030",15850005,"17,252"
2004,WHITE SHRIMP,ATCHAFALAYA/VERMILION-TECH BASIN,"2,927,624",3270735,"2,038"
2004,WHITE SHRIMP,BARATARIA BASIN,"15,503,564",17091547,"15,052"
2004,WHITE SHRIMP,CALCASIEU RIVER BASIN,"1,189,999",1071246,"2,592"
2004,WHITE SHRIMP,LAKE PONTCHARTRAIN BASIN,"3,499,143",4501475,"3,265"
2004,WHITE SHRIMP,LOUISIANA GRID 13,"7,058,981",11028767,"1,934"
2004,WHITE SHRIMP,LOUISIANA GRID 14,"7,628,270",13017412,"1,685"
2004,WHITE SHRIMP,LOUISIANA GRID 15,"8,852,620",15772694,"1,524"
2004,WHITE SHRIMP,LOUISIANA GRID 16,"3,291,268",5798595,478
2004,WHITE SHRIMP,LOUISIANA GRID 17,"1,392,714",2186951,474
2004,WHITE SHRIMP,MERMENTAU RIVER BASIN,"187,986",293466,270
2004,WHITE SHRIMP,MISSISSIPPI RIVER BASIN,"3,413,136",4042123,"2,603"
2004,WHITE SHRIMP,TERREBONNE BASIN,"19,705,564",19023781,"19,220"
2005,WHITE SHRIMP,ATCHAFALAYA/VERMILION-TECH BASIN,"2,872,232",3839116,"1,351"
2005,WHITE SHRIMP,BARATARIA BASIN,"9,415,764",13117940,"7,513"
2005,WHITE SHRIMP,CALCASIEU RIVER BASIN,"1,131,978",1209899,"1,432"
2005,WHITE SHRIMP,LAKE PONTCHARTRAIN BASIN,"1,847,936",2575984,"1,205"
2005,WHITE SHRIMP,LOUISIANA GRID 13,"3,942,667",6665755,989
2005,WHITE SHRIMP,LOUISIANA GRID 14,"5,479,937",9475999,942
2005,WHITE SHRIMP,LOUISIANA GRID 15,"11,041,538",20055564,"1,257"
2005,WHITE SHRIMP,LOUISIANA GRID 16,"3,173,048",5826988,377
2005,WHITE SHRIMP,LOUISIANA GRID 17,"195,883",325732,71
2005,WHITE SHRIMP,MERMENTAU RIVER BASIN,"166,582",317431,0
2005,WHITE SHRIMP,MISSISSIPPI RIVER BASIN,"2,230,490",2790443,195
2005,WHITE SHRIMP,TERREBONNE BASIN,"19,684,999",24385055,"1,063"
2006,WHITE SHRIMP,ATCHAFALAYA/VERMILION-TECH BASIN,"2,603,762",2989506,"1,381"
2006,WHITE SHRIMP,BARATARIA BASIN,"18,972,626",22237258,"10,351"
2006,WHITE SHRIMP,CALCASIEU RIVER BASIN,"1,613,796",1612952,"2,459"
2006,WHITE SHRIMP,LAKE PONTCHARTRAIN BASIN,"2,815,084",3459434,"2,167"
2006,WHITE SHRIMP,LOUISIANA GRID 13,"7,852,073",10457070,"1,581"
2006,WHITE SHRIMP,LOUISIANA GRID 14,"7,677,731",11233021,"1,146"
2006,WHITE SHRIMP,LOUISIANA GRID 15,"15,415,237",23197115,"1,676"
2006,WHITE SHRIMP,LOUISIANA GRID 16,"3,264,995",4974487,361
2006,WHITE SHRIMP,LOUISIANA GRID 17,"155,221",179499,60
2006,WHITE SHRIMP,MERMENTAU RIVER BASIN,"124,305",212704,202
2006,WHITE SHRIMP,MISSISSIPPI RIVER BASIN,"9,507,722",9686167,"3,974"
2006,WHITE SHRIMP,TERREBONNE BASIN,"19,307,032",18942781,"13,396"
2007,WHITE SHRIMP,ATCHAFALAYA/VERMILION-TECH BASIN,"2,569,410",2945212,"1,974"
2007,WHITE SHRIMP,BARATARIA BASIN,"18,342,391",27696667,"10,664"
2007,WHITE SHRIMP,CALCASIEU RIVER BASIN,"1,945,562",1724064,"2,494"
2007,WHITE SHRIMP,LAKE PONTCHARTRAIN BASIN,"2,434,629",3496278,"2,587"
2007,WHITE SHRIMP,LOUISIANA GRID 13,"5,854,515",10400506,"1,666"
2007,WHITE SHRIMP,LOUISIANA GRID 14,"3,952,022",6975016,681
2007,WHITE SHRIMP,LOUISIANA GRID 15,"10,688,228",20008457,"1,538"
2007,WHITE SHRIMP,LOUISIANA GRID 16,"2,241,545",3860802,204
2007,WHITE SHRIMP,LOUISIANA GRID 17,"138,575",163414,129
2007,WHITE SHRIMP,MERMENTAU RIVER BASIN,"252,686",,
2007,WHITE SHRIMP,MISSISSIPPI RIVER BASIN,"4,807,682",5897325,"2,410"
2007,WHITE SHRIMP,TERREBONNE BASIN,"12,667,427",14431870,"11,183"
2008,WHITE SHRIMP,ATCHAFALAYA/VERMILION-TECH BASIN,"2,111,510",2784056,"1,492"
2008,WHITE SHRIMP,BARATARIA BASIN,"16,229,858",28179420,"8,482"
2008,WHITE SHRIMP,CALCASIEU RIVER BASIN,"1,500,441",1524851,"2,084"
2008,WHITE SHRIMP,LAKE PONTCHARTRAIN BASIN,"6,251,619",9955998,"4,871"
2008,WHITE SHRIMP,LOUISIANA GRID 13,"4,716,400",10405317,"1,210"
2008,WHITE SHRIMP,LOUISIANA GRID 14,"4,709,004",9104607,645
2008,WHITE SHRIMP,LOUISIANA GRID 15,"11,560,032",24627479,"1,360"
2008,WHITE SHRIMP,LOUISIANA GRID 16,"2,193,554",4296566,179
2008,WHITE SHRIMP,LOUISIANA GRID 17,"119,699",305972,8
2008,WHITE SHRIMP,MERMENTAU RIVER BASIN,"143,284",,
2008,WHITE SHRIMP,MISSISSIPPI RIVER BASIN,"4,648,303",8355698,"2,407"
2008,WHITE SHRIMP,TERREBONNE BASIN,"12,269,748",14712301,"8,116"
2009,WHITE SHRIMP,ATCHAFALAYA/VERMILION-TECH BASIN,"1,911,204",2058826,"1,578"
2009,WHITE SHRIMP,BARATARIA BASIN,"18,924,227",21361973,"11,384"
2009,WHITE SHRIMP,CALCASIEU RIVER BASIN,"1,630,013",1555147,"2,128"
2009,WHITE SHRIMP,LAKE PONTCHARTRAIN BASIN,"3,773,540",4444699,"3,403"
2009,WHITE SHRIMP,LOUISIANA GRID 13,"7,316,892",10122948,"1,422"
2009,WHITE SHRIMP,LOUISIANA GRID 14,"5,141,639",7658830,596
2009,WHITE SHRIMP,LOUISIANA GRID 15,"12,040,239",16372350,"1,457"
2009,WHITE SHRIMP,LOUISIANA GRID 16,"2,938,118",3747269,252
2009,WHITE SHRIMP,LOUISIANA GRID 17,,,
2009,WHITE SHRIMP,MERMENTAU RIVER BASIN,"230,979",419386,355
2009,WHITE SHRIMP,MISSISSIPPI RIVER BASIN,"4,882,904",5456656,"2,491"
2009,WHITE SHRIMP,TERREBONNE BASIN,"19,425,633",19885311,"12,566"
2010,WHITE SHRIMP,ATCHAFALAYA/VERMILION-TECH BASIN,"2,347,867",3289523,"2,125"
2010,WHITE SHRIMP,BARATARIA BASIN,"14,730,517",19802811,"6,630"
2010,WHITE SHRIMP,CALCASIEU RIVER BASIN,"1,069,602",1434328,"2,128"
2010,WHITE SHRIMP,LAKE PONTCHARTRAIN BASIN,"4,102,589",6892946,"2,757"
2010,WHITE SHRIMP,LOUISIANA GRID 13,"901,497",1549356,120
2010,WHITE SHRIMP,LOUISIANA GRID 14,"1,999,893",3388121,290
2010,WHITE SHRIMP,LOUISIANA GRID 15,"5,483,560",10891514,843
2010,WHITE SHRIMP,LOUISIANA GRID 16,"2,507,903",6411183,248
2010,WHITE SHRIMP,LOUISIANA GRID 17,"437,765",1027103,39
2010,WHITE SHRIMP,MERMENTAU RIVER BASIN,"46,835",,
2010,WHITE SHRIMP,MISSISSIPPI RIVER BASIN,"2,803,254",3900833,"1,148"
2010,WHITE SHRIMP,TERREBONNE BASIN,"19,526,749",23877689,"12,666"
2011,WHITE SHRIMP,ATCHAFALAYA/VERMILION-TECH BASIN,"2,227,518",2991394,"2,005"
2011,WHITE SHRIMP,BARATARIA BASIN,"11,028,743",20794282,"10,366"
2011,WHITE SHRIMP,CALCASIEU RIVER BASIN,"1,153,589",1268832,"1,809"
2011,WHITE SHRIMP,LAKE PONTCHARTRAIN BASIN,"2,191,463",4896273,"3,044"
2011,WHITE SHRIMP,LOUISIANA GRID 13,"1,294,366",2866564,400
2011,WHITE SHRIMP,LOUISIANA GRID 14,"4,183,062",9246454,526
2011,WHITE SHRIMP,LOUISIANA GRID 15,"7,051,835",16828708,954
2011,WHITE SHRIMP,LOUISIANA GRID 16,"2,296,585",5542702,176
2011,WHITE SHRIMP,LOUISIANA GRID 17,"163,396",443542,10
2011,WHITE SHRIMP,MERMENTAU RIVER BASIN,"210,413",315111,251
2011,WHITE SHRIMP,MISSISSIPPI RIVER BASIN,"5,388,613",10035550,"2,882"
2011,WHITE SHRIMP,TERREBONNE BASIN,"14,840,865",22265421,"12,250"
2012,WHITE SHRIMP,ATCHAFALAYA/VERMILION-TECH BASIN,"2,366,310",3420515,"1,650"
2012,WHITE SHRIMP,BARATARIA BASIN,"12,383,312",18582975,"9,270"
2012,WHITE SHRIMP,CALCASIEU RIVER BASIN,"1,154,137",1431446,"1,485"
2012,WHITE SHRIMP,LAKE PONTCHARTRAIN BASIN,"4,829,880",6787567,"4,121"
2012,WHITE SHRIMP,LOUISIANA GRID 13,"2,153,081",4717186,441
2012,WHITE SHRIMP,LOUISIANA GRID 14,"5,058,197",10177382,595
2012,WHITE SHRIMP,LOUISIANA GRID 15,"10,925,114",20754224,"1,526"
2012,WHITE SHRIMP,LOUISIANA GRID 16,"3,515,671",6527139,287
2012,WHITE SHRIMP,LOUISIANA GRID 17,"51,782",165140,
2012,WHITE SHRIMP,MERMENTAU RIVER BASIN,"168,458",352229,209
2012,WHITE SHRIMP,MISSISSIPPI RIVER BASIN,"6,344,911",10197818,"2,851"
2012,WHITE SHRIMP,TERREBONNE BASIN,"18,887,897",25841552,"12,177"
2013,White Shrimp,ATCHAFALAYA/VERMILION-TECH BASIN,"2,267,617",3931476,"1,888"
2013,White Shrimp,BARATARIA BASIN,"8,866,306",18840326,"9,709"
2013,White Shrimp,CALCASIEU RIVER BASIN,"1,832,878",3174599,"2,569"
2013,White Shrimp,LAKE PONTCHARTRAIN BASIN,"4,139,031",9063664,"4,367"
2013,White Shrimp,LOUISIANA GRID 13,"2,123,265",5620654,556
2013,White Shrimp,LOUISIANA GRID 14,"3,249,331",9116030,523
2013,White Shrimp,LOUISIANA GRID 15,"9,006,799",23818967,"1,479"
2013,White Shrimp,LOUISIANA GRID 16,"2,600,810",6062777,401
2013,White Shrimp,LOUISIANA GRID 17,"311,648",460719,396
2013,White Shrimp,MERMENTAU RIVER BASIN,"351,127",578846,375
2013,White Shrimp,MISSISSIPPI RIVER BASIN,"4,372,881",10042263,"2,139"
2013,White Shrimp,TERREBONNE BASIN,"18,004,129",37644858,"14,959"
2014,WHITE SHRIMP,ATCHAFALAYA/VERMILION-TECH BASIN,"1,678,939",3495391,"1,456"
2014,WHITE SHRIMP,BARATARIA BASIN,"16,859,155",32581106,"12,491"
2014,WHITE SHRIMP,CALCASIEU RIVER BASIN,"1,663,604",2765305,"2,894"
2014,WHITE SHRIMP,LAKE PONTCHARTRAIN BASIN,"6,041,243",11771664,"4,918"
2014,WHITE SHRIMP,LOUISIANA GRID 13,"2,571,633",6988542,626
2014,WHITE SHRIMP,LOUISIANA GRID 14,"3,159,667",8113085,477
2014,WHITE SHRIMP,LOUISIANA GRID 15,"8,158,995",24066906,"1,215"
2014,WHITE SHRIMP,LOUISIANA GRID 16,"2,491,225",7760124,360
2014,WHITE SHRIMP,LOUISIANA GRID 17,"82,182",192346,184
2014,WHITE SHRIMP,MERMENTAU RIVER BASIN,"43,205",133732,59
2014,WHITE SHRIMP,MISSISSIPPI RIVER BASIN,"5,583,233",11524358,"2,476"
2014,WHITE SHRIMP,SABINE RIVER BASIN,"21,570",46242,14
2014,WHITE SHRIMP,TERREBONNE BASIN,"21,592,473",39497917,"15,499"
